ds,y
2022-11-16,42021
2022-11-17,43917
2022-11-18,50938
2022-11-19,63287
2022-11-20,43008
2022-11-21,43893
2022-11-22,43864
2022-11-23,48264
2022-11-24,35975
2022-11-25,67264
2022-11-26,64689
2022-11-27,50296
2022-11-28,35095
2022-11-29,44035
2022-11-30,48412
2022-12-01,51795
2022-12-02,39545
2022-12-03,63414
2022-12-04,50429
2022-12-05,36890
2022-12-06,48782
2022-12-07,52145
2022-12-08,54732
2022-12-09,44007
2022-12-10,66556
2022-12-11,54756
2022-12-12,53541
2022-12-13,51415
2022-12-14,55073
2022-12-15,59964
2022-12-16,63725
2022-12-17,72744
2022-12-18,56734
2022-12-19,68045
2022-12-20,69884
2022-12-21,70940
2022-12-22,73024
2022-12-23,74345
2022-12-24,46375
2022-12-25,13421
2022-12-26,67131
2022-12-27,62006
2022-12-28,61899
2022-12-29,61565
2022-12-30,62624
2022-12-31,37649
2023-01-01,11213
2023-01-02,50728
2023-01-03,42650
2023-01-04,46178
2023-01-05,48625
2023-01-06,54966
2023-01-07,57675
2023-01-08,42001
2023-01-09,49447
2023-01-10,49744
2023-01-11,50179
2023-01-12,50598
2023-01-13,55055
2023-01-14,58809
2023-01-15,44760
2023-01-16,49595
2023-01-17,44825
2023-01-18,43161
2023-01-19,44202
2023-01-20,50332
2023-01-21,53634
2023-01-22,43057
2023-01-23,42008
2023-01-24,39135
2023-01-25,40779
2023-01-26,40567
2023-01-27,48729
2023-01-28,51711
2023-01-29,40761
2023-01-30,38840
2023-01-31,39152
2023-02-01,40805
2023-02-02,41398
2023-02-03,48187
2023-02-04,54363
2023-02-05,40767
2023-02-06,40243
2023-02-07,39107
2023-02-08,39849
2023-02-09,42482
2023-02-10,50213
2023-02-11,63504
2023-02-12,45442
2023-02-13,41351
2023-02-14,42310
2023-02-15,41283
2023-02-16,42447
2023-02-17,44885
2023-02-18,43730
2023-02-19,21342
2023-02-20,24102
2023-02-21,19308
2023-02-22,40342
2023-02-23,37501
2023-02-24,42805
2023-02-25,52756
2023-02-26,39748
2023-02-27,37654
2023-02-28,38310
2023-03-01,38788
2023-03-02,38940
2023-03-03,45066
2023-03-04,56778
2023-03-05,39616
2023-03-06,40548
2023-03-07,37750
2023-03-08,42929
2023-03-09,39157
2023-03-10,49268
2023-03-11,54198
2023-03-12,40589
2023-03-13,36628
2023-03-14,35476
2023-03-15,43310
2023-03-16,38942
2023-03-17,48792
2023-03-18,54120
2023-03-19,40640
2023-03-20,37609
2023-03-21,36434
2023-03-22,38272
2023-03-23,39103
2023-03-24,47318
2023-03-25,50681
2023-03-26,39728
2023-03-27,36935
2023-03-28,36727
2023-03-29,36569
2023-03-30,40884
2023-03-31,49887
2023-04-01,56748
2023-04-02,43990
2023-04-03,39620
2023-04-04,41332
2023-04-05,46933
2023-04-06,51536
2023-04-07,19724
2023-04-08,51327
2023-04-09,37942
2023-04-10,40047
2023-04-11,39070
2023-04-12,41016
2023-04-13,43564
2023-04-14,51502
2023-04-15,61328
2023-04-16,47140
2023-04-17,40743
2023-04-18,40962
2023-04-19,41407
2023-04-20,46310
2023-04-21,44342
2023-04-22,52346
2023-04-23,39409
2023-04-24,41212
2023-04-25,36578
2023-04-26,39611
2023-04-27,40310
2023-04-28,50095
2023-04-29,55791
2023-04-30,47012
2023-05-01,22050
2023-05-02,40070
2023-05-03,42811
2023-05-04,42250
2023-05-05,54177
2023-05-06,61769
2023-05-07,46867
2023-05-08,43966
2023-05-09,44351
2023-05-10,44682
2023-05-11,47227
2023-05-12,58967
2023-05-13,66481
2023-05-14,43726
2023-05-15,40693
2023-05-16,39217
2023-05-17,39967
2023-05-18,41345
2023-05-19,48787
2023-05-20,56320
2023-05-21,42003
2023-05-22,40498
2023-05-23,39135
2023-05-24,39392
2023-05-25,45025
2023-05-26,49754
2023-05-27,54101
2023-05-28,42824
2023-05-29,41879
2023-05-30,37868
2023-05-31,41699
2023-06-01,43600
2023-06-02,51310
2023-06-03,58819
2023-06-04,44184
2023-06-05,43530
2023-06-06,42985
2023-06-07,47618
2023-06-08,45479
2023-06-09,52716
2023-06-10,53289
2023-06-11,43836
2023-06-12,53638
2023-06-13,39844
2023-06-14,40772
2023-06-15,42134
2023-06-16,52030
2023-06-17,54629
2023-06-18,41605
2023-06-19,40265
2023-06-20,38223
2023-06-21,39031
2023-06-22,39742
2023-06-23,47584
2023-06-24,48630
2023-06-25,38265
2023-06-26,41621
2023-06-27,40715
2023-06-28,41671
2023-06-29,44078
2023-06-30,49996
2023-07-01,53248
2023-07-02,42194
2023-07-03,48519
2023-07-04,47212
2023-07-05,50161
2023-07-06,52236
2023-07-07,55374
2023-07-08,58419
2023-07-09,44820
2023-07-10,51091
2023-07-11,47395
2023-07-12,50381
2023-07-13,49897
2023-07-14,55369
2023-07-15,56911
2023-07-16,43197
2023-07-17,50090
2023-07-18,48998
2023-07-19,50026
2023-07-20,53983
2023-07-21,58463
2023-07-22,57452
2023-07-23,45358
2023-07-24,54125
2023-07-25,51679
2023-07-26,53824
2023-07-27,51693
2023-07-28,55431
2023-07-29,54319
2023-07-30,43013
2023-07-31,54677
